time_s;theta1_exp;theta2_exp;l1_exp;l2_exp
1.33;2.5621222661996037;-1.2261490111768705;162.53307355735325;124.31009613060397
1.34;2.6201582138180495;-1.0248974293076074;162.60996279441184;125.19584657647394
1.35;2.6834394947922036;-0.8194758749844561;162.78820596099706;124.52309022827855
1.36;2.743964662067664;-0.6014547068602731;162.69296235547498;123.70933675353692
1.37;2.7965000359379677;-0.40915615276007494;162.58536219475602;123.1665539016173
1.38;2.84896008070019;-0.17985349979247828;162.92636373527768;122.98373876248843
1.39;2.889228600369835;0.016127633843636236;164.20109622045769;124.01612798341996
1.4;2.932207260636298;0.21954383628938867;163.5726138447387;123.97580409095961
1.41;2.9704440481736114;0.3910481552703115;164.40194646049662;123.30855606972291
1.42;3.007434051563736;0.5790742693677309;164.47796204963143;124.25779653607253
1.43;3.0316088329875095;0.7509290623979403;163.99085340347492;123.10970717209915
1.44;3.0559133560852607;0.9126143804653363;163.6001222493431;122.61321299109652
1.45;3.074619795380377;1.0445001811768586;164.3684884641822;121.43310915891102
1.46;3.0928508022798615;1.1734719636223254;164.19500601419034;121.46192819151193
1.47;3.1050235976762517;1.2936356194613072;164.1097193952875;120.60265337047937
1.48;3.117354976725056;1.3864719178951976;165.04847772699995;120.03332870498926
1.49;3.1293981361415413;1.4793851249346157;164.01219466856725;120.50311199301038
1.5;3.141592653589793;1.5458015331759765;165.0;120.03749414245534
1.51;-3.1355321217314827;1.6043971212108898;165.00303027520434;119.06720791217035
1.52;-3.123412838516815;1.654632968863311;165.0272704737008;119.41942890501528
1.53;-3.111298893671018;1.6796085316121416;165.07574019219177;119.70797801316336
1.54;-3.105245032570773;1.6972368240532862;165.10905486980417;118.94956914591998
1.55;-3.0931457440203136;1.6972368240532862;165.19382555047267;118.94956914591998
1.56;-3.0810606338076862;1.6796085316121416;165.3027525481654;119.70797801316336
1.57;-3.0689931998592987;1.654632968863311;165.43578814754684;119.41942890501528
1.58;-3.0569469092959145;1.6043971212108898;165.59287424282482;119.06720791217035
1.59;-3.0449251925680634;1.5458015331759765;165.77394246382633;120.03749414245534
1.6;-3.032274119701893;1.4793851249346157;164.98484778912274;120.50311199301038
1.61;-3.0142369178621897;1.396124127786657;165.33904560024533;120.83873551142449
1.62;-3.002257506275662;1.298101990249229;165.60495161679194;122.5275479229059
1.63;-2.990318209754424;1.1766337425246225;165.89454481688057;122.38463955905577
1.64;-2.9774390007224056;1.056650170882332;165.22106403240477;124.03628501370073
1.65;-2.9595804955205076;0.9160777398125671;165.73774464496614;124.80785231707178
1.66;-2.9477389915615766;0.7629300348116228;166.1114083980989;125.89678312014172
1.67;-2.93471870461005;0.6055446636049701;165.5294535724685;126.49110640673517
1.68;-2.922923707715851;0.4351855462038585;165.95180023127196;125.7179382586272
1.69;-2.909809705438376;0.2662520491509254;165.42369842317032;125.41929676090518
1.7;-2.8980759777254015;0.08777389232722038;165.89454481688057;125.4830665866913
1.71;-2.879046251849694;-0.0791990709694515;165.67739737212196;126.39620247459969
1.72;-2.854179742325663;-0.25651661264432357;165.8010856418015;126.1269202034205
1.73;-2.8236443622385017;-0.4069707853687713;166.33700730745397;126.31706139710502
1.74;-2.791278441354391;-0.552697191635304;166.0873264279969;125.7179382586272
1.75;-2.7532739354173272;-0.6846171643127805;166.388100536066;126.50691680694776
1.76;-2.7075063231542655;-0.8078662919832738;166.43617395265971;125.89678312014172
1.77;-2.653756214930151;-0.9209258773829491;166.41213898030395;125.60254774486066
1.78;-2.5919046236780154;-1.0248974293076074;166.5322791533221;125.19584657647394
1.79;-2.5303769732749926;-1.1178244687815455;167.28717822953436;125.67418191498204
1.8;-2.4537561082963704;-1.2185983318290832;166.96406799069075;124.65151423067431
1.81;-2.37314201999875;-1.3122526042957146;166.90116836020053;125.15989773086265
1.82;-2.288501467498376;-1.393806097631554;167.2602762164406;124.95199078045935
1.83;-2.1868907120365573;-1.4896739346939956;167.86303941010956;123.40583454602137
1.84;-2.085474860936131;-1.5869239606385328;166.58031096140985;124.01612798341996
1.85;-1.9623764483560668;-1.6931331606103925;167.69317219254933;122.9186723000212
1.86;-1.8275046572282823;-1.8157749899217608;165.42067585401773;123.69316876852982
1.87;-1.69663389994406;-1.9209630028850133;167.32304085211933;122.42957159118053
1.88;-1.5408651484410882;-2.0271447953520054;167.0748335327616;122.53978945632312
1.89;-1.3850824785352527;-2.1154471135199144;167.88686666919483;121.59358535712317
1.9;-1.2113278199313902;-2.1747793050478945;167.72000476985446;121.49485585818027
1.91;-1.0293490776569838;-2.1882022185464693;166.86821147240718;122.64175471673585
1.92;-0.8491414759301353;-2.1431051516362905;166.50825805346713;123.71337841963576
1.93;-0.65788860518221;-2.056023319362233;166.81726529349413;124.35433245367851
1.94;-0.4636476090008061;-1.8848349518190206;165.46903033498444;123.01625908797584
1.95;-0.26836621090590684;-1.668841604088736;165.93974810153233;122.58874336577564
1.96;-0.07862545726563365;-1.363723649677865;165.51132891738862;121.59769734661919
1.97;0.09725319825156577;-0.9919888663856159;164.77863939236784;120.65239326262865
1.98;0.25085231070431846;-0.5693131911006619;165.1696097955069;118.72657663724664
